feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_0_avg,0.19642985524391413,0.19642985524391413,0.0,0.19642985524391413,0.19642985524391413,0.19642985524391413,0.19642985524391413,1.0,1,1.0,1,0.20969246099688707,0.20969246099688707,0.0,0.20969246099688707,0.20969246099688707,0.20969246099688707,0.20969246099688707,1.0,1,1.0
sensor_5_avg_cos,-0.18453352425469727,-0.18453352425469727,0.0,-0.18453352425469727,-0.18453352425469727,0.18453352425469727,0.18453352425469727,1.0,1,1.0,1,-0.07670339556228076,-0.07670339556228076,0.0,-0.07670339556228076,-0.07670339556228076,0.07670339556228076,0.07670339556228076,1.0,1,1.0
sensor_5_min_cos,-0.18310880365996254,-0.18310880365996254,0.0,-0.18310880365996254,-0.18310880365996254,0.18310880365996254,0.18310880365996254,1.0,1,1.0,1,-0.0531775099717553,-0.0531775099717553,0.0,-0.0531775099717553,-0.0531775099717553,0.0531775099717553,0.0531775099717553,1.0,1,1.0
sensor_43_avg,0.1750180128175775,0.1750180128175775,0.0,0.1750180128175775,0.1750180128175775,0.1750180128175775,0.1750180128175775,1.0,1,1.0,1,0.17414715888460133,0.17414715888460133,0.0,0.17414715888460133,0.17414715888460133,0.17414715888460133,0.17414715888460133,1.0,1,1.0
sensor_53_avg,0.1710061880848143,0.1710061880848143,0.0,0.1710061880848143,0.1710061880848143,0.1710061880848143,0.1710061880848143,1.0,1,1.0,1,0.18434624227875387,0.18434624227875387,0.0,0.18434624227875387,0.18434624227875387,0.18434624227875387,0.18434624227875387,1.0,1,1.0
sensor_41_avg,0.16269303600551913,0.16269303600551913,0.0,0.16269303600551913,0.16269303600551913,0.16269303600551913,0.16269303600551913,1.0,1,1.0,1,0.1665444595522959,0.1665444595522959,0.0,0.1665444595522959,0.1665444595522959,0.1665444595522959,0.1665444595522959,1.0,1,1.0
sensor_5_max_cos,-0.15689336629918613,-0.15689336629918613,0.0,-0.15689336629918613,-0.15689336629918613,0.15689336629918613,0.15689336629918613,1.0,1,1.0,1,-0.07825430976262625,-0.07825430976262625,0.0,-0.07825430976262625,-0.07825430976262625,0.07825430976262625,0.07825430976262625,1.0,1,1.0
sensor_6_avg,0.1405916695611933,0.1405916695611933,0.0,0.1405916695611933,0.1405916695611933,0.1405916695611933,0.1405916695611933,1.0,1,1.0,1,0.1608188061474184,0.1608188061474184,0.0,0.1608188061474184,0.1608188061474184,0.1608188061474184,0.1608188061474184,1.0,1,1.0
sensor_19_avg,0.13498399142100898,0.13498399142100898,0.0,0.13498399142100898,0.13498399142100898,0.13498399142100898,0.13498399142100898,1.0,1,1.0,1,0.12659844476970877,0.12659844476970877,0.0,0.12659844476970877,0.12659844476970877,0.12659844476970877,0.12659844476970877,1.0,1,1.0
sensor_5_avg_sin,0.13410715647169114,0.13410715647169114,0.0,0.13410715647169114,0.13410715647169114,0.13410715647169114,0.13410715647169114,1.0,1,1.0,1,0.07796838357018196,0.07796838357018196,0.0,0.07796838357018196,0.07796838357018196,0.07796838357018196,0.07796838357018196,1.0,1,1.0
sensor_5_min_sin,0.12958574757105862,0.12958574757105862,0.0,0.12958574757105862,0.12958574757105862,0.12958574757105862,0.12958574757105862,1.0,1,1.0,1,0.07256824968277627,0.07256824968277627,0.0,0.07256824968277627,0.07256824968277627,0.07256824968277627,0.07256824968277627,1.0,1,1.0
sensor_14_avg,0.1171823448983779,0.1171823448983779,0.0,0.1171823448983779,0.1171823448983779,0.1171823448983779,0.1171823448983779,1.0,1,1.0,1,0.06160801298111823,0.06160801298111823,0.0,0.06160801298111823,0.06160801298111823,0.06160801298111823,0.06160801298111823,1.0,1,1.0
sensor_5_max_sin,0.11445714730661509,0.11445714730661509,0.0,0.11445714730661509,0.11445714730661509,0.11445714730661509,0.11445714730661509,1.0,1,1.0,1,0.07659277937368522,0.07659277937368522,0.0,0.07659277937368522,0.07659277937368522,0.07659277937368522,0.07659277937368522,1.0,1,1.0
